industry_code,industry_name,ticker,name,weight,declare_date
801120,食品饮料,600305,恒顺醋业,0.2705,2021-12-13
801120,食品饮料,600381,*ST春天,0.0911,2021-12-13
801120,食品饮料,600419,天润乳业,0.1128,2021-12-13
801120,食品饮料,600429,三元股份,0.1269,2021-12-13
801120,食品饮料,600519,贵州茅台,40.035,2021-12-13
801120,食品饮料,600530,ST交昂,0.0789,2021-12-13
801120,食品饮料,600543,*ST莫高,0.0549,2021-12-13
801120,食品饮料,600559,老白干酒,0.5015,2021-12-13
801120,食品饮料,600573,惠泉啤酒,0.0788,2021-12-13
801120,食品饮料,600597,光明乳业,0.2921,2021-12-13
801120,食品饮料,600600,青岛啤酒,0.9238,2021-12-13
801120,食品饮料,600616,金枫酒业,0.1147,2021-12-13
801120,食品饮料,600702,舍得酒业,0.4958,2021-12-13
801120,食品饮料,600779,水井坊,0.3024,2021-12-13
801120,食品饮料,600809,山西汾酒,3.1382,2021-12-13
801120,食品饮料,600872,中炬高新,0.6499,2021-12-13
801120,食品饮料,600882,妙可蓝多,0.3043,2021-12-13
801120,食品饮料,600887,伊利股份,9.6851,2021-12-13
801120,食品饮料,601579,会稽山,0.2538,2021-12-13
801120,食品饮料,603027,千禾味业,0.2966,2021-12-13
801120,食品饮料,603043,广州酒家,0.148,2021-12-13
801120,食品饮料,603156,养元饮品,1.2915,2021-12-13
801120,食品饮料,603198,迎驾贡酒,0.5213,2021-12-13
801120,食品饮料,603288,海天味业,3.3787,2021-12-13
801120,食品饮料,603317,天味食品,0.2271,2021-12-13
801120,食品饮料,603345,安井食品,1.056,2021-12-13
801120,食品饮料,603369,今世缘,1.3033,2021-12-13
801120,食品饮料,603517,ST绝味,0.2163,2021-12-13
801120,食品饮料,603536,惠发食品,0.049,2021-12-13
801120,食品饮料,603589,口子窖,0.4206,2021-12-13
801120,食品饮料,603696,安记食品,0.0898,2021-12-13
801120,食品饮料,603697,有友食品,0.0877,2021-12-13
801120,食品饮料,603711,香飘飘,0.0558,2021-12-13
801120,食品饮料,603719,良品铺子,0.099,2021-12-13
801120,食品饮料,603755,日辰股份,0.0642,2021-12-13
801120,食品饮料,603777,来伊份,0.1154,2021-12-13
801120,食品饮料,603779,威龙股份,0.1081,2021-12-13
801120,食品饮料,603866,桃李面包,0.1658,2021-12-13
801120,食品饮料,603886,元祖股份,0.0864,2021-12-13
801120,食品饮料,603919,金徽酒,0.2355,2021-12-13
801120,食品饮料,605089,味知香,0.0487,2021-12-13
801120,食品饮料,605179,一鸣食品,0.15,2021-12-13
801120,食品饮料,605300,佳禾食品,0.0858,2021-12-13
801120,食品饮料,605337,李子园,0.0883,2021-12-13
801120,食品饮料,605338,巴比食品,0.102,2021-12-13
801120,食品饮料,605339,南侨食品,0.0574,2021-12-13
801120,食品饮料,605388,均瑶健康,0.0765,2021-12-13
801120,食品饮料,605499,东鹏饮料,1.9738,2021-12-13
801120,食品饮料,605567,春雪食品,0.0745,2021-12-13
801120,食品饮料,603102,百合股份,0.0869,2022-01-25
801120,食品饮料,001318,阳光乳业,0.063,2022-05-20
801120,食品饮料,603170,宝立食品,0.1092,2022-07-15
801120,食品饮料,000716,黑芝麻,0.164,2022-08-01
801120,食品饮料,300892,品渥食品,0.0492,2022-08-01
801120,食品饮料,603237,五芳斋,0.0774,2022-08-31
801120,食品饮料,603057,紫燕食品,0.1018,2022-09-26
801120,食品饮料,002661,克明食品,0.0751,2023-04-04
801120,食品饮料,000529,广弘控股,0.0732,2023-05-18
801120,食品饮料,000639,ST西王,0.0876,2024-07-31
801120,食品饮料,002719,ST麦趣,0.0527,2024-07-31
801120,食品饮料,603262,技源集团,0.1256,2025-07-23
801120,食品饮料,000568,泸州老窖,3.602,2021-12-13
801130,纺织服饰,000726,鲁泰A,1.0628,2021-12-13
801130,纺织服饰,000850,华茂股份,0.8458,2021-12-13
801130,纺织服饰,000955,欣龙控股,0.6872,2021-12-13
801130,纺织服饰,001209,洪兴股份,0.3049,2021-12-13
801130,纺织服饰,002003,伟星股份,3.3867,2021-12-13
801130,纺织服饰,002029,七匹狼,1.418,2021-12-13
801130,纺织服饰,002042,华孚时尚,1.327,2021-12-13
801130,纺织服饰,002083,孚日股份,2.2941,2021-12-13
801130,纺织服饰,002098,浔兴股份,0.4858,2021-12-13
801130,纺织服饰,002144,宏达高科,0.5648,2021-12-13
801130,纺织服饰,002154,报喜鸟,1.4691,2021-12-13
801130,纺织服饰,002269,美邦服饰,0.9533,2021-12-13
801130,纺织服饰,002293,罗莱生活,1.6865,2021-12-13
801130,纺织服饰,002327,富安娜,0.9535,2021-12-13
801130,纺织服饰,002345,潮宏基,2.0894,2021-12-13
801130,纺织服饰,002394,联发股份,0.8312,2021-12-13
801130,纺织服饰,002397,梦洁股份,0.6176,2021-12-13
801130,纺织服饰,002494,华斯股份,0.4815,2021-12-13
801130,纺织服饰,002563,森马服饰,1.6281,2021-12-13
801130,纺织服饰,002569,*ST步森,0.4527,2021-12-13
801130,纺织服饰,002574,明牌珠宝,0.503,2021-12-13
801130,纺织服饰,002612,朗姿股份,1.3967,2021-12-13
801130,纺织服饰,002656,摩登大道,0.6453,2021-12-13
801130,纺织服饰,002674,兴业科技,1.3496,2021-12-13
801130,纺织服饰,002687,乔治白,0.7187,2021-12-13
801130,纺织服饰,002721,金一文化,2.2701,2021-12-13
801130,纺织服饰,002731,*ST萃华,0.06,2021-12-13
801130,纺织服饰,002762,金发拉比,0.5714,2021-12-13
801130,纺织服饰,002780,三夫户外,0.6983,2021-12-13
801130,纺织服饰,002832,比音勒芬,3.3586,2021-12-13
801130,纺织服饰,002867,周大生,1.6344,2021-12-13
801130,纺织服饰,002875,安奈儿,0.9,2021-12-13
801130,纺织服饰,003016,欣贺股份,0.3723,2021-12-13
801130,纺织服饰,003041,真爱美家,0.6064,2021-12-13
801130,纺织服饰,300005,探路者,2.7576,2021-12-13
801130,纺织服饰,300577,开润股份,0.8233,2021-12-13
801130,纺织服饰,300591,万里马,0.7146,2021-12-13
801130,纺织服饰,300819,聚杰微纤,0.7898,2021-12-13
801130,纺织服饰,300840,酷特智能,1.1492,2021-12-13
801130,纺织服饰,300877,金春股份,0.6271,2021-12-13
801130,纺织服饰,300901,中胤时尚,0.779,2021-12-13
801130,纺织服饰,300918,南山智尚,1.1054,2021-12-13
801130,纺织服饰,300945,曼卡龙,0.6956,2021-12-13
801130,纺织服饰,300952,恒辉安防,0.6859,2021-12-13
801130,纺织服饰,300979,华利集团,1.926,2021-12-13
801130,纺织服饰,301088,戎美股份,0.3106,2021-12-13
801130,纺织服饰,600107,*ST尔雅,0.7062,2021-12-13
801130,纺织服饰,600156,华升股份,0.8322,2021-12-13
801130,纺织服饰,600177,雅戈尔,4.3624,2021-12-13
801130,纺织服饰,600398,海澜之家,3.4233,2021-12-13
801130,纺织服饰,600400,红豆股份,0.4135,2021-12-13
801130,纺织服饰,600439,ST瑞贝卡,0.5841,2021-12-13
801130,纺织服饰,600448,华纺股份,0.564,2021-12-13
801130,纺织服饰,600493,凤竹纺织,0.4663,2021-12-13
801130,纺织服饰,600527,江南高纤,1.0226,2021-12-13
801130,纺织服饰,600612,老凤祥,1.3147,2021-12-13
801130,纺织服饰,600630,龙头股份,0.3615,2021-12-13
801130,纺织服饰,600735,ST新华锦,0.5669,2021-12-13
801130,纺织服饰,600916,中国黄金,2.5775,2021-12-13
801130,纺织服饰,600987,航民股份,1.144,2021-12-13
801130,纺织服饰,601339,百隆东方,1.1631,2021-12-13
801130,纺织服饰,601566,九牧王,0.6169,2021-12-13
801130,纺织服饰,601599,浙文影业,1.0693,2021-12-13
801130,纺织服饰,601718,ST际华,1.357,2021-12-13
801130,纺织服饰,603001,奥康国际,0.7532,2021-12-13
801130,纺织服饰,603055,台华新材,0.9966,2021-12-13
801130,纺织服饰,603116,红蜻蜓,0.5892,2021-12-13
801130,纺织服饰,603196,璞源材料,0.7226,2021-12-13
801130,纺织服饰,603365,水星家纺,0.5548,2021-12-13
801130,纺织服饰,603518,锦泓集团,0.7377,2021-12-13
